"name";"color";"tone";"first_photo"
"КГ-1-9";"сиреневый";"";"https://star-tex.ru/media/items/25_OKvvJ69.jpg"
"КГ-8-1";"красный";"алый";"https://star-tex.ru/media/items/86_FBFCAqY.jpg"
"КГ-8-10";"желтый";"горчичный";"https://star-tex.ru/media/items/56_6eGtphO.jpg"
"КГ-8-11";"фиолетовый";"свекольный";"https://star-tex.ru/media/items/50_kPQR79s.jpg"
"КГ-8-12";"бежевый";"каштановый";"https://star-tex.ru/media/items/44_RBnceOJ.jpg"
"КГ-8-13";"серый";"";"https://star-tex.ru/media/items/31_j1mBAqN.jpg"
"КГ-8-14";"синий";"серо-голубой";"https://star-tex.ru/media/items/25_ydJBKtB.jpg"
"КГ-8-15";"бежевый";"песочный";"https://star-tex.ru/media/items/19_W6xD7De.jpg"
"КГ-8-16";"синий";"";"https://star-tex.ru/media/items/13_AduqSiw.jpg"
"КГ-8-17";"бежевый";"серо-бежевый";"https://star-tex.ru/media/items/7_hai1aiy.jpg"
"КГ-8-18";"лиловый";"пудрово-лиловый";"https://star-tex.ru/media/items/1_9ejHvMJ.jpg"
"КГ-8-19";"бордовый";"марсала";"https://star-tex.ru/media/items/38_b3knxt8.jpg"
"КГ-8-2";"синий";"электрик";"https://star-tex.ru/media/items/92_f05wSf1.jpg"
"КГ-8-20";"красный";"";"https://star-tex.ru/media/items/1_YGllQIF.jpg"
"КГ-8-21";"серый";"серо-синий";"https://star-tex.ru/media/items/4_BFTnlzS.jpg"
"КГ-8-22";"серый";"серо-оливковый";"https://star-tex.ru/media/items/7_ifeGFtI.jpg"
"КГ-8-23";"коралловый";"";"https://star-tex.ru/media/items/10_ufV258K.jpg"
"КГ-8-24";"хаки";"дымчатый хаки";"https://star-tex.ru/media/items/13_RHDD7lQ.jpg"
"КГ-8-25";"хаки";"";"https://star-tex.ru/media/items/16_KxpPz2u.jpg"
"КГ-8-26";"розовый";"";"https://star-tex.ru/media/items/19_Y2LUYad.jpg"
"КГ-8-27";"коричневый";"";"https://star-tex.ru/media/items/22_xz9Ch7m.jpg"
"КГ-8-28";"коричневый";"рыже-коричневый";"https://star-tex.ru/media/items/25_g0sEBpb.jpg"
"КГ-8-29";"синий";"темно-синий";"https://star-tex.ru/media/items/1_3OEYvgL.jpg"
"КГ-8-3";"синий";"джинсовый";"https://star-tex.ru/media/items/110_qLOuy4K.jpg"
"КГ-8-30";"зеленый";"";"https://star-tex.ru/media/items/25_5EvaLyJ.jpg"
"КГ-8-4";"синий";"чернильный";"https://star-tex.ru/media/items/104_Tl7DZHY.jpg"
